Hours;Calls Presented;Calls Answered;Call Answered <= 45s;Call Answered (> 45s &<= 90s);Call Answered > 90s;Unanswered Calls;TMA;TME;% Answered;DATA_FORMATADA_1;DATA_FORMATADA_FINAL;HORA_FORMATADA;CLASSIFICAÇÃO_DIA;RESPONDIDAS_DN;RESPONDIDAS_DP;NS_DP;NS_DN;NÃO_RESPONDIDAS_DN;NÃO_RESPONDIDAS_DP;DATA_FORMATADA_2;MÊS;ANO;HORA_FORMATADA_2
2021-07-02 20:00:00;4;4;4;;;;00:05:20;00:00:00;100%;2021-07-02;02/07/2021;20:00:00;DIA NOMAL;4;4;100%;100%;0;0;02/07/2021;(07)-jul/2021;2021;20:00:00
2021-07-02 19:00:00;15;15;15;;;;00:06:31;00:00:00;100%;2021-07-02;02/07/2021;19:00:00;DIA NOMAL;15;15;100%;100%;0;0;02/07/2021;(07)-jul/2021;2021;19:00:00
2021-07-02 18:00:00;32;32;32;;;;00:06:09;00:00:00;100%;2021-07-02;02/07/2021;18:00:00;DIA NOMAL;32;32;100%;100%;0;0;02/07/2021;(07)-jul/2021;2021;18:00:00
2021-07-02 17:00:00;57;44;24;;20;13;00:06:37;00:02:09;77%;2021-07-02;02/07/2021;17:00:00;DIA NOMAL;24;24;42%;42%;33;33;02/07/2021;(07)-jul/2021;2021;17:00:00
2021-07-02 16:00:00;90;81;56;13;10;9;00:06:18;00:00:51;90%;2021-07-02;02/07/2021;16:00:00;DIA NOMAL;56;69;77%;62%;34;21;02/07/2021;(07)-jul/2021;2021;16:00:00
2021-07-02 15:00:00;89;84;60;16;8;5;00:05:28;00:00:27;94%;2021-07-02;02/07/2021;15:00:00;DIA NOMAL;60;76;85%;67%;29;13;02/07/2021;(07)-jul/2021;2021;15:00:00
2021-07-02 14:00:00;108;103;87;6;10;5;00:05:30;00:00:28;95%;2021-07-02;02/07/2021;14:00:00;DIA NOMAL;87;93;86%;81%;21;15;02/07/2021;(07)-jul/2021;2021;14:00:00
2021-07-02 13:00:00;113;110;84;20;6;3;00:04:58;00:00:21;97%;2021-07-02;02/07/2021;13:00:00;DIA NOMAL;84;104;92%;74%;29;9;02/07/2021;(07)-jul/2021;2021;13:00:00
2021-07-02 12:00:00;92;92;83;9;;;00:05:33;00:00:06;100%;2021-07-02;02/07/2021;12:00:00;DIA NOMAL;83;92;100%;90%;9;0;02/07/2021;(07)-jul/2021;2021;12:00:00
2021-07-02 11:00:00;124;124;121;3;;;00:04:39;00:00:03;100%;2021-07-02;02/07/2021;11:00:00;DIA NOMAL;121;124;100%;98%;3;0;02/07/2021;(07)-jul/2021;2021;11:00:00
2021-07-02 10:00:00;131;129;116;13;;2;00:04:58;00:00:10;99%;2021-07-02;02/07/2021;10:00:00;DIA NOMAL;116;129;98%;89%;15;2;02/07/2021;(07)-jul/2021;2021;10:00:00
2021-07-02 09:00:00;90;90;84;5;1;;00:05:42;00:00:06;100%;2021-07-02;02/07/2021;09:00:00;DIA NOMAL;84;89;99%;93%;6;1;02/07/2021;(07)-jul/2021;2021;09:00:00
2021-07-02 08:00:00;41;41;41;;;;00:06:05;00:00:00;100%;2021-07-02;02/07/2021;08:00:00;DIA NOMAL;41;41;100%;100%;0;0;02/07/2021;(07)-jul/2021;2021;08:00:00
2021-07-01 20:00:00;3;3;3;;;;00:05:24;00:00:00;100%;2021-07-01;01/07/2021;20:00:00;DIA NOMAL;3;3;100%;100%;0;0;01/07/2021;(07)-jul/2021;2021;20:00:00
2021-07-01 19:00:00;11;11;10;1;;;00:08:09;00:00:05;100%;2021-07-01;01/07/2021;19:00:00;DIA NOMAL;10;11;100%;91%;1;0;01/07/2021;(07)-jul/2021;2021;19:00:00
2021-07-01 18:00:00;24;22;12;5;5;2;00:07:11;00:00:47;92%;2021-07-01;01/07/2021;18:00:00;DIA NOMAL;12;17;71%;50%;12;7;01/07/2021;(07)-jul/2021;2021;18:00:00
2021-07-01 17:00:00;74;59;15;6;38;15;00:06:32;00:02:18;80%;2021-07-01;01/07/2021;17:00:00;DIA NOMAL;15;21;28%;20%;59;53;01/07/2021;(07)-jul/2021;2021;17:00:00
2021-07-01 16:00:00;131;79;;1;77;52;00:05:51;00:03:27;60%;2021-07-01;01/07/2021;16:00:00;DIA NOMAL;0;1;1%;0%;131;130;01/07/2021;(07)-jul/2021;2021;16:00:00
2021-07-01 15:00:00;128;82;25;8;47;46;00:06:22;00:04:04;64%;2021-07-01;01/07/2021;15:00:00;DIA NOMAL;25;33;26%;20%;103;95;01/07/2021;(07)-jul/2021;2021;15:00:00
2021-07-01 14:00:00;132;131;121;3;7;1;00:06:46;00:00:11;99%;2021-07-01;01/07/2021;14:00:00;DIA NOMAL;121;124;94%;92%;11;8;01/07/2021;(07)-jul/2021;2021;14:00:00
2021-07-01 13:00:00;127;126;111;15;;1;00:05:59;00:00:12;99%;2021-07-01;01/07/2021;13:00:00;DIA NOMAL;111;126;99%;87%;16;1;01/07/2021;(07)-jul/2021;2021;13:00:00
2021-07-01 12:00:00;132;129;119;10;;3;00:05:45;00:00:10;98%;2021-07-01;01/07/2021;12:00:00;DIA NOMAL;119;129;98%;90%;13;3;01/07/2021;(07)-jul/2021;2021;12:00:00
2021-07-01 11:00:00;165;133;4;39;90;32;00:05:33;00:01:48;81%;2021-07-01;01/07/2021;11:00:00;DIA NOMAL;4;43;26%;2%;161;122;01/07/2021;(07)-jul/2021;2021;11:00:00
2021-07-01 10:00:00;137;127;57;24;44;10;00:05:14;00:00:59;93%;2021-07-01;01/07/2021;10:00:00;DIA NOMAL;57;81;59%;42%;80;56;01/07/2021;(07)-jul/2021;2021;10:00:00
2021-07-01 09:00:00;121;115;92;16;7;6;00:05:36;00:00:19;95%;2021-07-01;01/07/2021;09:00:00;DIA NOMAL;92;108;89%;76%;29;13;01/07/2021;(07)-jul/2021;2021;09:00:00
2021-07-01 08:00:00;52;51;48;;;1;00:05:22;00:00:03;98%;2021-07-01;01/07/2021;08:00:00;DIA NOMAL;48;48;92%;92%;4;4;01/07/2021;(07)-jul/2021;2021;08:00:00
2021-06-30 20:00:00;5;5;5;;;;00:07:50;00:00:00;100%;2021-06-30;30/06/2021;20:00:00;DIA NOMAL;5;5;100%;100%;0;0;30/06/2021;(06)-jun/2021;2021;20:00:00
2021-06-30 19:00:00;18;18;17;1;;;00:07:28;00:00:04;100%;2021-06-30;30/06/2021;19:00:00;DIA NOMAL;17;18;100%;94%;1;0;30/06/2021;(06)-jun/2021;2021;19:00:00
2021-06-30 18:00:00;34;29;17;2;10;5;00:05:12;00:01:53;85%;2021-06-30;30/06/2021;18:00:00;DIA NOMAL;17;19;56%;50%;17;15;30/06/2021;(06)-jun/2021;2021;18:00:00
2021-06-30 17:00:00;50;48;39;5;4;2;00:07:04;00:00:24;96%;2021-06-30;30/06/2021;17:00:00;DIA NOMAL;39;44;88%;78%;11;6;30/06/2021;(06)-jun/2021;2021;17:00:00
2021-06-30 16:00:00;89;72;22;15;34;17;00:06:51;00:01:46;81%;2021-06-30;30/06/2021;16:00:00;DIA NOMAL;22;37;42%;25%;67;52;30/06/2021;(06)-jun/2021;2021;16:00:00
2021-06-30 15:00:00;129;102;30;18;53;27;00:06:06;00:02:03;79%;2021-06-30;30/06/2021;15:00:00;DIA NOMAL;30;48;37%;23%;99;81;30/06/2021;(06)-jun/2021;2021;15:00:00
2021-06-30 14:00:00;127;121;102;14;5;6;00:05:39;00:00:18;95%;2021-06-30;30/06/2021;14:00:00;DIA NOMAL;102;116;91%;80%;25;11;30/06/2021;(06)-jun/2021;2021;14:00:00
2021-06-30 13:00:00;115;114;114;;;1;00:05:26;00:00:00;99%;2021-06-30;30/06/2021;13:00:00;DIA NOMAL;114;114;99%;99%;1;1;30/06/2021;(06)-jun/2021;2021;13:00:00
2021-06-30 12:00:00;127;126;123;3;;1;00:05:36;00:00:02;99%;2021-06-30;30/06/2021;12:00:00;DIA NOMAL;123;126;99%;97%;4;1;30/06/2021;(06)-jun/2021;2021;12:00:00
2021-06-30 11:00:00;141;132;111;7;14;9;00:05:12;00:00:18;94%;2021-06-30;30/06/2021;11:00:00;DIA NOMAL;111;118;84%;79%;30;23;30/06/2021;(06)-jun/2021;2021;11:00:00
2021-06-30 10:00:00;131;125;105;7;12;6;00:05:32;00:00:21;95%;2021-06-30;30/06/2021;10:00:00;DIA NOMAL;105;112;85%;80%;26;19;30/06/2021;(06)-jun/2021;2021;10:00:00
2021-06-30 09:00:00;93;91;88;3;;2;00:05:17;00:00:03;98%;2021-06-30;30/06/2021;09:00:00;DIA NOMAL;88;91;98%;95%;5;2;30/06/2021;(06)-jun/2021;2021;09:00:00
2021-06-30 08:00:00;40;38;36;;2;2;00:06:28;00:00:09;95%;2021-06-30;30/06/2021;08:00:00;DIA NOMAL;36;36;90%;90%;4;4;30/06/2021;(06)-jun/2021;2021;08:00:00
2021-06-29 20:00:00;9;9;9;;;;00:05:05;00:00:00;100%;2021-06-29;29/06/2021;20:00:00;DIA NOMAL;9;9;100%;100%;0;0;29/06/2021;(06)-jun/2021;2021;20:00:00
2021-06-29 19:00:00;19;18;18;;;1;00:05:34;00:00:07;95%;2021-06-29;29/06/2021;19:00:00;DIA NOMAL;18;18;95%;95%;1;1;29/06/2021;(06)-jun/2021;2021;19:00:00
2021-06-29 18:00:00;27;26;26;;;1;00:07:05;00:00:01;96%;2021-06-29;29/06/2021;18:00:00;DIA NOMAL;26;26;96%;96%;1;1;29/06/2021;(06)-jun/2021;2021;18:00:00
2021-06-29 17:00:00;73;64;24;14;26;9;00:07:12;00:01:13;88%;2021-06-29;29/06/2021;17:00:00;DIA NOMAL;24;38;52%;33%;49;35;29/06/2021;(06)-jun/2021;2021;17:00:00
2021-06-29 16:00:00;105;99;45;25;29;6;00:05:40;00:00:59;94%;2021-06-29;29/06/2021;16:00:00;DIA NOMAL;45;70;67%;43%;60;35;29/06/2021;(06)-jun/2021;2021;16:00:00
2021-06-29 15:00:00;76;75;66;9;;1;00:05:45;00:00:11;99%;2021-06-29;29/06/2021;15:00:00;DIA NOMAL;66;75;99%;87%;10;1;29/06/2021;(06)-jun/2021;2021;15:00:00
2021-06-29 14:00:00;100;100;98;2;;;00:05:17;00:00:03;100%;2021-06-29;29/06/2021;14:00:00;DIA NOMAL;98;100;100%;98%;2;0;29/06/2021;(06)-jun/2021;2021;14:00:00
2021-06-29 13:00:00;114;114;114;;;;00:05:50;00:00:00;100%;2021-06-29;29/06/2021;13:00:00;DIA NOMAL;114;114;100%;100%;0;0;29/06/2021;(06)-jun/2021;2021;13:00:00
2021-06-29 12:00:00;106;106;106;;;;00:05:36;00:00:00;100%;2021-06-29;29/06/2021;12:00:00;DIA NOMAL;106;106;100%;100%;0;0;29/06/2021;(06)-jun/2021;2021;12:00:00
2021-06-29 11:00:00;130;125;108;9;8;5;00:05:30;00:00:13;96%;2021-06-29;29/06/2021;11:00:00;DIA NOMAL;108;117;90%;83%;22;13;29/06/2021;(06)-jun/2021;2021;11:00:00
2021-06-29 10:00:00;106;106;105;;;;00:05:32;00:00:02;100%;2021-06-29;29/06/2021;10:00:00;DIA NOMAL;105;105;99%;99%;1;1;29/06/2021;(06)-jun/2021;2021;10:00:00
2021-06-29 09:00:00;82;81;81;;;1;00:04:36;00:00:00;99%;2021-06-29;29/06/2021;09:00:00;DIA NOMAL;81;81;99%;99%;1;1;29/06/2021;(06)-jun/2021;2021;09:00:00
2021-06-29 08:00:00;40;40;40;;;;00:05:47;00:00:00;100%;2021-06-29;29/06/2021;08:00:00;DIA NOMAL;40;40;100%;100%;0;0;29/06/2021;(06)-jun/2021;2021;08:00:00
2021-06-28 20:00:00;9;9;9;;;;00:03:47;00:00:00;100%;2021-06-28;28/06/2021;20:00:00;DIA DE PICO;9;9;100%;100%;0;0;28/06/2021;(06)-jun/2021;2021;20:00:00
2021-06-28 19:00:00;11;11;11;;;;00:06:21;00:00:00;100%;2021-06-28;28/06/2021;19:00:00;DIA DE PICO;11;11;100%;100%;0;0;28/06/2021;(06)-jun/2021;2021;19:00:00
2021-06-28 18:00:00;33;33;28;1;4;;00:07:52;00:00:22;100%;2021-06-28;28/06/2021;18:00:00;DIA DE PICO;28;29;88%;85%;5;4;28/06/2021;(06)-jun/2021;2021;18:00:00
2021-06-28 17:00:00;62;60;48;12;;2;00:06:35;00:00:15;97%;2021-06-28;28/06/2021;17:00:00;DIA DE PICO;48;60;97%;77%;14;2;28/06/2021;(06)-jun/2021;2021;17:00:00
2021-06-28 16:00:00;105;96;54;21;21;9;00:06:11;00:00:55;91%;2021-06-28;28/06/2021;16:00:00;DIA DE PICO;54;75;71%;51%;51;30;28/06/2021;(06)-jun/2021;2021;16:00:00
2021-06-28 15:00:00;134;107;33;5;69;27;00:05:17;00:02:08;80%;2021-06-28;28/06/2021;15:00:00;DIA DE PICO;33;38;28%;25%;101;96;28/06/2021;(06)-jun/2021;2021;15:00:00
2021-06-28 14:00:00;112;112;112;;;;00:05:34;00:00:00;100%;2021-06-28;28/06/2021;14:00:00;DIA DE PICO;112;112;100%;100%;0;0;28/06/2021;(06)-jun/2021;2021;14:00:00
2021-06-28 13:00:00;107;107;107;;;;00:05:29;00:00:00;100%;2021-06-28;28/06/2021;13:00:00;DIA DE PICO;107;107;100%;100%;0;0;28/06/2021;(06)-jun/2021;2021;13:00:00
2021-06-28 12:00:00;121;121;121;;;;00:04:38;00:00:00;100%;2021-06-28;28/06/2021;12:00:00;DIA DE PICO;121;121;100%;100%;0;0;28/06/2021;(06)-jun/2021;2021;12:00:00
2021-06-28 11:00:00;135;132;104;20;8;3;00:05:46;00:00:21;98%;2021-06-28;28/06/2021;11:00:00;DIA DE PICO;104;124;92%;77%;31;11;28/06/2021;(06)-jun/2021;2021;11:00:00
2021-06-28 10:00:00;143;141;132;8;;2;00:05:31;00:00:07;99%;2021-06-28;28/06/2021;10:00:00;DIA DE PICO;132;140;98%;92%;11;3;28/06/2021;(06)-jun/2021;2021;10:00:00
2021-06-28 09:00:00;111;111;95;11;5;;00:04:46;00:00:12;100%;2021-06-28;28/06/2021;09:00:00;DIA DE PICO;95;106;95%;86%;16;5;28/06/2021;(06)-jun/2021;2021;09:00:00
2021-06-28 08:00:00;68;67;41;5;3;1;00:04:22;00:00:16;99%;2021-06-28;28/06/2021;08:00:00;DIA DE PICO;41;46;68%;60%;27;22;28/06/2021;(06)-jun/2021;2021;08:00:00
2021-06-25 20:00:00;2;2;2;;;;00:04:12;00:00:00;100%;2021-06-25;25/06/2021;20:00:00;DIA NOMAL;2;2;100%;100%;0;0;25/06/2021;(06)-jun/2021;2021;20:00:00
2021-06-25 19:00:00;7;7;7;;;;00:07:39;00:00:00;100%;2021-06-25;25/06/2021;19:00:00;DIA NOMAL;7;7;100%;100%;0;0;25/06/2021;(06)-jun/2021;2021;19:00:00
2021-06-25 18:00:00;29;29;27;2;;;00:06:52;00:00:05;100%;2021-06-25;25/06/2021;18:00:00;DIA NOMAL;27;29;100%;93%;2;0;25/06/2021;(06)-jun/2021;2021;18:00:00
2021-06-25 17:00:00;46;43;23;6;14;3;00:06:15;00:01:00;94%;2021-06-25;25/06/2021;17:00:00;DIA NOMAL;23;29;63%;50%;23;17;25/06/2021;(06)-jun/2021;2021;17:00:00
2021-06-25 16:00:00;69;68;56;6;6;1;00:06:59;00:00:24;99%;2021-06-25;25/06/2021;16:00:00;DIA NOMAL;56;62;90%;81%;13;7;25/06/2021;(06)-jun/2021;2021;16:00:00
2021-06-25 15:00:00;78;78;71;3;4;;00:05:59;00:00:11;100%;2021-06-25;25/06/2021;15:00:00;DIA NOMAL;71;74;95%;91%;7;4;25/06/2021;(06)-jun/2021;2021;15:00:00
2021-06-25 14:00:00;103;103;102;;;;00:05:08;00:00:00;100%;2021-06-25;25/06/2021;14:00:00;DIA NOMAL;102;102;99%;99%;1;1;25/06/2021;(06)-jun/2021;2021;14:00:00
2021-06-25 13:00:00;88;88;88;;;;00:05:04;00:00:00;100%;2021-06-25;25/06/2021;13:00:00;DIA NOMAL;88;88;100%;100%;0;0;25/06/2021;(06)-jun/2021;2021;13:00:00
2021-06-25 12:00:00;104;104;104;;;;00:05:30;00:00:00;100%;2021-06-25;25/06/2021;12:00:00;DIA NOMAL;104;104;100%;100%;0;0;25/06/2021;(06)-jun/2021;2021;12:00:00
2021-06-25 11:00:00;97;94;89;4;1;3;00:05:25;00:00:07;97%;2021-06-25;25/06/2021;11:00:00;DIA NOMAL;89;93;96%;92%;8;4;25/06/2021;(06)-jun/2021;2021;11:00:00
2021-06-25 10:00:00;127;125;112;9;3;2;00:05:14;00:00:11;98%;2021-06-25;25/06/2021;10:00:00;DIA NOMAL;112;121;95%;88%;15;6;25/06/2021;(06)-jun/2021;2021;10:00:00
2021-06-25 09:00:00;92;92;91;1;;;00:05:05;00:00:00;100%;2021-06-25;25/06/2021;09:00:00;DIA NOMAL;91;92;100%;99%;1;0;25/06/2021;(06)-jun/2021;2021;09:00:00
2021-06-25 08:00:00;30;30;30;;;;00:05:11;00:00:00;100%;2021-06-25;25/06/2021;08:00:00;DIA NOMAL;30;30;100%;100%;0;0;25/06/2021;(06)-jun/2021;2021;08:00:00
2021-06-24 20:00:00;5;5;5;;;;00:04:35;00:00:00;100%;2021-06-24;24/06/2021;20:00:00;DIA NOMAL;5;5;100%;100%;0;0;24/06/2021;(06)-jun/2021;2021;20:00:00
2021-06-24 19:00:00;6;6;6;;;;00:05:20;00:00:00;100%;2021-06-24;24/06/2021;19:00:00;DIA NOMAL;6;6;100%;100%;0;0;24/06/2021;(06)-jun/2021;2021;19:00:00
2021-06-24 18:00:00;30;29;21;1;7;1;00:08:12;00:01:13;97%;2021-06-24;24/06/2021;18:00:00;DIA NOMAL;21;22;73%;70%;9;8;24/06/2021;(06)-jun/2021;2021;18:00:00
2021-06-24 17:00:00;59;56;41;9;6;3;00:04:57;00:00:33;95%;2021-06-24;24/06/2021;17:00:00;DIA NOMAL;41;50;85%;69%;18;9;24/06/2021;(06)-jun/2021;2021;17:00:00
2021-06-24 16:00:00;77;77;51;11;15;;00:07:06;00:00:45;100%;2021-06-24;24/06/2021;16:00:00;DIA NOMAL;51;62;81%;66%;26;15;24/06/2021;(06)-jun/2021;2021;16:00:00
2021-06-24 15:00:00;111;102;58;15;28;9;00:06:08;00:01:01;92%;2021-06-24;24/06/2021;15:00:00;DIA NOMAL;58;73;66%;52%;53;38;24/06/2021;(06)-jun/2021;2021;15:00:00
2021-06-24 14:00:00;87;87;87;;;;00:04:49;00:00:00;100%;2021-06-24;24/06/2021;14:00:00;DIA NOMAL;87;87;100%;100%;0;0;24/06/2021;(06)-jun/2021;2021;14:00:00
2021-06-24 13:00:00;83;83;83;;;;00:05:19;00:00:00;100%;2021-06-24;24/06/2021;13:00:00;DIA NOMAL;83;83;100%;100%;0;0;24/06/2021;(06)-jun/2021;2021;13:00:00
2021-06-24 12:00:00;82;82;82;;;;00:05:38;00:00:00;100%;2021-06-24;24/06/2021;12:00:00;DIA NOMAL;82;82;100%;100%;0;0;24/06/2021;(06)-jun/2021;2021;12:00:00
2021-06-24 11:00:00;127;127;127;;;;00:05:19;00:00:01;100%;2021-06-24;24/06/2021;11:00:00;DIA NOMAL;127;127;100%;100%;0;0;24/06/2021;(06)-jun/2021;2021;11:00:00
2021-06-24 10:00:00;107;107;107;;;;00:05:02;00:00:00;100%;2021-06-24;24/06/2021;10:00:00;DIA NOMAL;107;107;100%;100%;0;0;24/06/2021;(06)-jun/2021;2021;10:00:00
2021-06-24 09:00:00;92;92;89;2;;;00:05:48;00:00:02;100%;2021-06-24;24/06/2021;09:00:00;DIA NOMAL;89;91;99%;97%;3;1;24/06/2021;(06)-jun/2021;2021;09:00:00
2021-06-24 08:00:00;42;42;42;;;;00:05:06;00:00:00;100%;2021-06-24;24/06/2021;08:00:00;DIA NOMAL;42;42;100%;100%;0;0;24/06/2021;(06)-jun/2021;2021;08:00:00
2021-06-24 07:00:00;1;1;1;;;;00:07:17;00:00:00;100%;2021-06-24;24/06/2021;07:00:00;DIA NOMAL;1;1;100%;100%;0;0;24/06/2021;(06)-jun/2021;2021;07:00:00
2021-06-23 20:00:00;6;6;6;;;;00:06:37;00:00:00;100%;2021-06-23;23/06/2021;20:00:00;DIA NOMAL;6;6;100%;100%;0;0;23/06/2021;(06)-jun/2021;2021;20:00:00
2021-06-23 19:00:00;6;6;6;;;;00:06:56;00:00:00;100%;2021-06-23;23/06/2021;19:00:00;DIA NOMAL;6;6;100%;100%;0;0;23/06/2021;(06)-jun/2021;2021;19:00:00
2021-06-23 18:00:00;44;44;40;3;1;;00:06:40;00:00:08;100%;2021-06-23;23/06/2021;18:00:00;DIA NOMAL;40;43;98%;91%;4;1;23/06/2021;(06)-jun/2021;2021;18:00:00
2021-06-23 17:00:00;76;74;20;22;32;2;00:06:08;00:01:29;97%;2021-06-23;23/06/2021;17:00:00;DIA NOMAL;20;42;55%;26%;56;34;23/06/2021;(06)-jun/2021;2021;17:00:00
2021-06-23 16:00:00;98;85;34;7;44;13;00:06:30;00:01:53;87%;2021-06-23;23/06/2021;16:00:00;DIA NOMAL;34;41;42%;35%;64;57;23/06/2021;(06)-jun/2021;2021;16:00:00
2021-06-23 15:00:00;125;123;66;24;33;2;00:06:04;00:01:12;98%;2021-06-23;23/06/2021;15:00:00;DIA NOMAL;66;90;72%;53%;59;35;23/06/2021;(06)-jun/2021;2021;15:00:00
2021-06-23 14:00:00;124;124;124;;;;00:04:45;00:00:01;100%;2021-06-23;23/06/2021;14:00:00;DIA NOMAL;124;124;100%;100%;0;0;23/06/2021;(06)-jun/2021;2021;14:00:00
2021-06-23 13:00:00;112;111;111;;;1;00:06:11;00:00:00;99%;2021-06-23;23/06/2021;13:00:00;DIA NOMAL;111;111;99%;99%;1;1;23/06/2021;(06)-jun/2021;2021;13:00:00
2021-06-23 12:00:00;125;125;125;;;;00:05:47;00:00:00;100%;2021-06-23;23/06/2021;12:00:00;DIA NOMAL;125;125;100%;100%;0;0;23/06/2021;(06)-jun/2021;2021;12:00:00
2021-06-23 11:00:00;122;121;119;1;;1;00:05:35;00:00:02;99%;2021-06-23;23/06/2021;11:00:00;DIA NOMAL;119;120;98%;98%;3;2;23/06/2021;(06)-jun/2021;2021;11:00:00
2021-06-23 10:00:00;107;107;106;1;;;00:05:16;00:00:01;100%;2021-06-23;23/06/2021;10:00:00;DIA NOMAL;106;107;100%;99%;1;0;23/06/2021;(06)-jun/2021;2021;10:00:00
2021-06-23 09:00:00;85;85;85;;;;00:06:01;00:00:00;100%;2021-06-23;23/06/2021;09:00:00;DIA NOMAL;85;85;100%;100%;0;0;23/06/2021;(06)-jun/2021;2021;09:00:00
2021-06-23 08:00:00;43;43;43;;;;00:05:32;00:00:00;100%;2021-06-23;23/06/2021;08:00:00;DIA NOMAL;43;43;100%;100%;0;0;23/06/2021;(06)-jun/2021;2021;08:00:00
2021-06-22 20:00:00;6;6;6;;;;00:05:58;00:00:00;100%;2021-06-22;22/06/2021;20:00:00;DIA NOMAL;6;6;100%;100%;0;0;22/06/2021;(06)-jun/2021;2021;20:00:00
2021-06-22 19:00:00;10;10;8;2;;;00:05:22;00:00:16;100%;2021-06-22;22/06/2021;19:00:00;DIA NOMAL;8;10;100%;80%;2;0;22/06/2021;(06)-jun/2021;2021;19:00:00
2021-06-22 18:00:00;20;20;20;;;;00:06:48;00:00:01;100%;2021-06-22;22/06/2021;18:00:00;DIA NOMAL;20;20;100%;100%;0;0;22/06/2021;(06)-jun/2021;2021;18:00:00
2021-06-22 17:00:00;67;66;56;9;1;1;00:06:03;00:00:13;99%;2021-06-22;22/06/2021;17:00:00;DIA NOMAL;56;65;97%;84%;11;2;22/06/2021;(06)-jun/2021;2021;17:00:00
2021-06-22 16:00:00;66;62;24;9;28;4;00:06:16;00:01:50;94%;2021-06-22;22/06/2021;16:00:00;DIA NOMAL;24;33;50%;36%;42;33;22/06/2021;(06)-jun/2021;2021;16:00:00
2021-06-22 15:00:00;84;82;47;12;23;2;00:06:54;00:00:54;98%;2021-06-22;22/06/2021;15:00:00;DIA NOMAL;47;59;70%;56%;37;25;22/06/2021;(06)-jun/2021;2021;15:00:00
2021-06-22 14:00:00;132;132;131;1;;;00:05:38;00:00:01;100%;2021-06-22;22/06/2021;14:00:00;DIA NOMAL;131;132;100%;99%;1;0;22/06/2021;(06)-jun/2021;2021;14:00:00
2021-06-22 13:00:00;105;105;105;;;;00:05:39;00:00:00;100%;2021-06-22;22/06/2021;13:00:00;DIA NOMAL;105;105;100%;100%;0;0;22/06/2021;(06)-jun/2021;2021;13:00:00
2021-06-22 12:00:00;115;115;113;1;;;00:06:17;00:00:01;100%;2021-06-22;22/06/2021;12:00:00;DIA NOMAL;113;114;99%;98%;2;1;22/06/2021;(06)-jun/2021;2021;12:00:00
2021-06-22 11:00:00;121;121;121;;;;00:05:16;00:00:00;100%;2021-06-22;22/06/2021;11:00:00;DIA NOMAL;121;121;100%;100%;0;0;22/06/2021;(06)-jun/2021;2021;11:00:00
2021-06-22 10:00:00;125;125;114;10;;;00:05:17;00:00:08;100%;2021-06-22;22/06/2021;10:00:00;DIA NOMAL;114;124;99%;91%;11;1;22/06/2021;(06)-jun/2021;2021;10:00:00
2021-06-22 09:00:00;78;78;78;;;;00:06:10;00:00:01;100%;2021-06-22;22/06/2021;09:00:00;DIA NOMAL;78;78;100%;100%;0;0;22/06/2021;(06)-jun/2021;2021;09:00:00
2021-06-22 08:00:00;39;39;39;;;;00:04:58;00:00:00;100%;2021-06-22;22/06/2021;08:00:00;DIA NOMAL;39;39;100%;100%;0;0;22/06/2021;(06)-jun/2021;2021;08:00:00
2021-06-22 07:00:00;1;1;1;;;;00:06:40;00:00:00;100%;2021-06-22;22/06/2021;07:00:00;DIA NOMAL;1;1;100%;100%;0;0;22/06/2021;(06)-jun/2021;2021;07:00:00
2021-06-21 20:00:00;4;4;4;;;;00:02:51;00:00:00;100%;2021-06-21;21/06/2021;20:00:00;DIA DE PICO;4;4;100%;100%;0;0;21/06/2021;(06)-jun/2021;2021;20:00:00
2021-06-21 19:00:00;15;15;15;;;;00:04:54;00:00:00;100%;2021-06-21;21/06/2021;19:00:00;DIA DE PICO;15;15;100%;100%;0;0;21/06/2021;(06)-jun/2021;2021;19:00:00
2021-06-21 18:00:00;43;43;41;2;;;00:05:34;00:00:04;100%;2021-06-21;21/06/2021;18:00:00;DIA DE PICO;41;43;100%;95%;2;0;21/06/2021;(06)-jun/2021;2021;18:00:00
2021-06-21 17:00:00;72;67;33;9;23;5;00:06:16;00:01:47;93%;2021-06-21;21/06/2021;17:00:00;DIA DE PICO;33;42;58%;46%;39;30;21/06/2021;(06)-jun/2021;2021;17:00:00
2021-06-21 16:00:00;91;84;26;10;48;7;00:06:08;00:02:27;92%;2021-06-21;21/06/2021;16:00:00;DIA DE PICO;26;36;40%;29%;65;55;21/06/2021;(06)-jun/2021;2021;16:00:00
2021-06-21 15:00:00;138;128;42;9;77;10;00:05:57;00:02:53;93%;2021-06-21;21/06/2021;15:00:00;DIA DE PICO;42;51;37%;30%;96;87;21/06/2021;(06)-jun/2021;2021;15:00:00
2021-06-21 14:00:00;152;150;129;20;1;2;00:05:44;00:00:12;99%;2021-06-21;21/06/2021;14:00:00;DIA DE PICO;129;149;98%;85%;23;3;21/06/2021;(06)-jun/2021;2021;14:00:00
2021-06-21 13:00:00;101;101;101;;;;00:05:32;00:00:00;100%;2021-06-21;21/06/2021;13:00:00;DIA DE PICO;101;101;100%;100%;0;0;21/06/2021;(06)-jun/2021;2021;13:00:00
2021-06-21 12:00:00;137;136;133;3;;1;00:05:49;00:00:05;99%;2021-06-21;21/06/2021;12:00:00;DIA DE PICO;133;136;99%;97%;4;1;21/06/2021;(06)-jun/2021;2021;12:00:00
